Short name,Date,N.PRB.UL.DrbUsed.Avg[%],N.ThpVol.UL,N.User.RRCConn.Active.UL.Avg
cell230,2025-02-17 14:00:00,0.23846153846153847,10120.336,0.069
cell230,2025-02-17 14:15:00,0.41538461538461535,5115.6,0.066
cell230,2025-02-17 14:30:00,0.1673076923076923,4675.672,0.039
cell230,2025-02-17 14:45:00,0.4403846153846154,10225.736,0.093
cell230,2025-02-17 15:00:00,0.4730769230769231,6702.176,0.061
cell230,2025-02-17 15:15:00,0.06346153846153846,3184.312,0.014
cell230,2025-02-17 15:30:00,0.4480769230769231,15943.728,0.06
cell230,2025-02-17 15:45:00,0.08269230769230769,1717.936,0.017
cell230,2025-02-17 16:00:00,0.4057692307692307,16151.488,0.101
cell230,2025-02-17 16:15:00,0.05,793.8,0.015
cell230,2025-02-17 16:30:00,0.4519230769230769,8337.648,0.083
cell230,2025-02-17 16:45:00,0.7250000000000001,36262.56,0.186
cell230,2025-02-17 17:00:00,0.08846153846153847,2848.56,0.015
cell230,2025-02-17 17:15:00,0.4826923076923077,20896.8,0.062
cell230,2025-02-17 17:30:00,0.05769230769230769,1695.336,0.013
cell230,2025-02-17 17:45:00,0.20384615384615384,6577.488,0.044
cell230,2025-02-17 18:00:00,0.015384615384615385,492.6,0.003
cell230,2025-02-17 18:15:00,0.09807692307692308,3463.248,0.018
cell230,2025-02-17 18:30:00,0.21538461538461537,3630.8,0.028
cell230,2025-02-17 18:45:00,0.14038461538461539,4591.416,0.018
cell230,2025-02-17 19:00:00,0.15384615384615385,2839.184,0.024
cell230,2025-02-17 19:15:00,0.04807692307692308,2129.424,0.009
cell230,2025-02-17 19:30:00,0.06538461538461539,850.392,0.007
cell230,2025-02-17 19:45:00,0.13461538461538464,6409.072,0.037
cell230,2025-02-17 20:00:00,0.04038461538461539,548.736,0.007
cell230,2025-02-17 20:15:00,0.025,842.984,0.007
cell230,2025-02-17 20:30:00,0.25576923076923075,8668.448,0.028
cell230,2025-02-17 20:45:00,0.009615384615384616,196.792,0.002
cell230,2025-02-17 21:00:00,0.005769230769230769,68.608,0.002
cell230,2025-02-17 21:15:00,0.07307692307692308,1998.464,0.015
cell230,2025-02-17 21:30:00,0.526923076923077,23326.624,0.099
cell230,2025-02-17 21:45:00,0.3076923076923077,10043.912,0.068
cell230,2025-02-17 22:00:00,0.36538461538461536,18151.136,0.046
cell230,2025-02-17 22:15:00,0.01346153846153846,434.872,0.004
cell230,2025-02-17 22:30:00,0.04615384615384615,1392.496,0.016
cell230,2025-02-17 22:45:00,0.023076923076923075,42.152,0.006
cell230,2025-02-17 23:00:00,0.005769230769230769,51.312,0.002
cell230,2025-02-17 23:15:00,0.03076923076923077,996.624,0.009
cell230,2025-02-17 23:30:00,0.009615384615384616,1.36,0.003
cell230,2025-02-17 23:45:00,0.0,0.2,0.0
cell230,2025-02-18 00:00:00,0.0,1.64,0.0
cell230,2025-02-18 00:15:00,0.0038461538461538464,60.032,0.001
cell230,2025-02-18 00:30:00,0.04038461538461539,774.88,0.01
cell230,2025-02-18 00:45:00,0.0038461538461538464,83.52,0.002
cell230,2025-02-18 01:00:00,0.0019230769230769232,0.36,0.001
cell230,2025-02-18 01:15:00,0.01346153846153846,390.384,0.006
cell230,2025-02-18 01:30:00,0.005769230769230769,9.136,0.005
cell230,2025-02-18 01:45:00,0.011538461538461537,214.992,0.006
cell230,2025-02-18 02:00:00,0.015384615384615385,578.76,0.004
cell230,2025-02-18 02:15:00,0.42500000000000004,33346.704,0.095
cell230,2025-02-18 02:30:00,0.4115384615384615,29349.232,0.107
cell230,2025-02-18 02:45:00,0.03653846153846154,762.768,0.003
cell230,2025-02-18 03:00:00,0.005769230769230769,68.312,0.003
cell230,2025-02-18 03:15:00,0.0038461538461538464,36.68,0.003
cell230,2025-02-18 03:30:00,0.0019230769230769232,21.36,0.002
cell230,2025-02-18 03:45:00,0.005769230769230769,76.728,0.003
cell230,2025-02-18 04:00:00,0.0038461538461538464,41.944,0.002
cell230,2025-02-18 04:15:00,0.0019230769230769232,6.032,0.001
cell230,2025-02-18 04:30:00,0.0019230769230769232,2.88,0.002
cell230,2025-02-18 04:45:00,0.03653846153846154,850.408,0.013
cell230,2025-02-18 05:00:00,0.0019230769230769232,4.936,0.002
cell230,2025-02-18 05:15:00,0.07307692307692308,3256.592,0.019
cell230,2025-02-18 05:30:00,0.0923076923076923,5084.968,0.029
